"event_name,""date_time"",""address"",""price"""
"Bar presents Discodromo - All Night Long,""Vrijdag    23 juni 201723:00 - 05:00"",""BAR   ...Schiekade 201Rotterdam NLRoute via Google maps"",""Deur:  10,00"""
"Diggin Deeper,""Vrijdag    23 juni 201723:00 - 05:00"",""BIRD   ...Raampoortstraat 24/26/28Rotterdam NLRoute via Google maps"",""Voorverkoop: 6,00 excl. feeDeur:   8,00"""
"Asianxl Invites Broederliefde,""Vrijdag    23 juni 201723:00 - 05:00"",""BLU Rotterdam   ...Prins Alexanderlaan 37Rotterdam NLRoute via Google maps"",""Koop tickets:  """
"Bubbels,""Vrijdag    23 juni 201723:00 - 05:00"",""Café Plein   ...Stadhuisplein 23-25Rotterdam NLRoute via Google maps"",""Deur:   5,00"""
"Afterparty,""Vrijdag    23 juni 2017 nacht00:00 - 07:00   (24-06-2017 00:00 - 07:00)"",""Club La Luna   ...Mauritsweg 46ARotterdam NLRoute via Google maps"",""Deur:  10,00"""
"We Are - Freddy Moreira,""Vrijdag    23 juni 201723:00 - 05:00"",""Club Vie   ...Maasboulevard 300Rotterdam NLRoute via Google maps"",""Deur:  10,00"""
"Freaky Friday ( Striptease Male & Female ),""Vrijdag    23 juni 201723:00 - 06:00"",""Kings 010   ...Coolsingel 69Rotterdam NLRoute via Google maps"",""Kizomba,  Afrohouse,  Caribbean,  Latin"""
"Sexlectic - Grandopening,""Vrijdag    23 juni 201723:00 - 05:00"",""NORA Rotterdam   ...Coolsingel 18Rotterdam NLRoute via Google maps"",""Voorverkoop: 5,00 excl. fee"""
"Lucha Libre,""Vrijdag    23 juni 201723:00 - 05:00"",""The VIP room   ...Stadhuisplein 39Rotterdam NLRoute via Google maps"",""Voorverkoop: 10,00 excl. feeDeur:  15,00"""
"Toffler presents Bram Fidder,""Vrijdag    23 juni 201723:00 - 06:00"",""Toffler   ...Weena Zuid 33Rotterdam NLRoute via Google maps"",""Deur:  10,00"""
"Comico Invites: Joey Daniel,""Vrijdag    23 juni 201723:00 - 05:00"",""Villa Thalia   ...Kruiskade 31Rotterdam NLRoute via Google maps"",""Dresscode:Inspiratie voor jouw party outfit"""
"Ata Kak,""Zaterdag   24 juni 201719:00 - 23:00"",""Annabel   ...Schiestraat 20Rotterdam NLRoute via Google maps"",""Voorverkoop: 18,50 excl. fee"""
"het Verbond,""Zaterdag   24 juni 201723:00 - 05:00"",""BAR   ...Schiekade 201Rotterdam NLRoute via Google maps"",""Deur:  10,00"""
"The Warm Up,""Zaterdag   24 juni 201723:00 - 05:00"",""BIRD   ...Raampoortstraat 24/26/28Rotterdam NLRoute via Google maps"",""Deur:  10,00"""
"Africa Night Rotterdam June 2017,""Zaterdag   24 juni 201722:00 - 03:00"",""C5 Jazz   ...Schiehaven 11Rotterdam NLRoute via Google maps"",""Voorverkoop: 10,00 excl. fee"""
"Tropical Lovers,""Zaterdag   24 juni 2017 nacht00:00 - 07:00   (25-06-2017 00:00 - 07:00)"",""Club La Luna   ...Mauritsweg 46ARotterdam NLRoute via Google maps"",""Deur:  10,00"""
"Ladies Night Special,""Zaterdag   24 juni 201723:00 - 05:00"",""Club Vie   ...Maasboulevard 300Rotterdam NLRoute via Google maps"",""Voorverkoop: 10,00 excl. fee"""
"Classionz,""Zaterdag   24 juni 201723:00 - 05:00"",""Maassilo   ...Maashaven Zuidzijde 1-2Rotterdam NLRoute via Google maps"",""Voorverkoop: 15,00 excl. feeDeur:  20,00"""
"The Love Movement - Chester Code & Friends,""Zaterdag   24 juni 201723:00 - 06:00"",""Toffler   ...Weena Zuid 33Rotterdam NLRoute via Google maps"",""Deur:  10,00"""
"Crispy invites SoSuperSam (Soulection),""Zaterdag   24 juni 201723:55 - 05:00"",""Transport Rotterdam   ...Schiestraat 18Rotterdam NLRoute via Google maps"",""Deur:  10,00"""
"Villa Night Club,""Zaterdag   24 juni 201723:00 - 05:00"",""Villa Thalia   ...Kruiskade 31Rotterdam NLRoute via Google maps"",""Leeftijd: 18+Dresscode:Inspiratie voor jouw party outfit"""
"Prspct Bikini Party,""Zaterdag   24 juni 201723:00 - 06:00"",""Worm   ...Boomgaardsstraat 71Rotterdam NLRoute via Google maps"",""Voorverkoop: 13,50 excl. fee"""
"R&b Cafe - Trilllogy,""Zaterdag   24 juni 201723:00 - 05:00"",""WTC Rotterdam   ...Beursplein 37Rotterdam NLRoute via Google maps"",""Voorverkoop: 19,50  excl. feeKoop tickets:  """
"Dimanche with LOTTO BOYZZ,""Zondag     25 juni 201723:00 - 05:00"",""Club Vie   ...Maasboulevard 300Rotterdam NLRoute via Google maps"",""Voorverkoop: 15,00 excl. fee"""
"Belvedere Monday,""Maandag    26 juni 201723:00 - 05:00"",""Club Vie   ...Maasboulevard 300Rotterdam NLRoute via Google maps"",""Dresscode:Inspiratie voor jouw party outfit"""
"Gideon van Gelder (Birdsessions),""Woensdag   28 juni 201722:00"",""BIRD   ...Raampoortstraat 24/26/28Rotterdam NLRoute via Google maps"",""Gratis entree"""
"La Mixta (Latin Social Club),""Donderdag  29 juni 201721:00 - 01:00"",""Coconuts   ...Stadhuisplein 19Rotterdam NLRoute via Google maps"",""Gratis entree"""
"Pre-Night Of The Songs,""Donderdag  29 juni 201721:00 - 05:00"",""Erasmus Paviljoen   ...Burgemeester Oudlaan 50Rotterdam NLRoute via Google maps"",""Dresscode:Inspiratie voor jouw party outfit"""
"Nachtcollege,""Donderdag  29 juni 201722:00 - 05:00"",""Villa Thalia   ...Kruiskade 31Rotterdam NLRoute via Google maps"",""Voorverkoop: 10,00 excl. fee"""
"Wildstyle,""Donderdag  29 juni 201723:59 - 05:00"",""Worm   ...Boomgaardsstraat 71Rotterdam NLRoute via Google maps"",""Voorverkoop: 5,00 excl. feeDeur:   6,00"""
"Free 4 Now The Official Wdka Afterparty,""Vrijdag    30 juni 201723:00 - 05:00"",""BAR   ...Schiekade 201Rotterdam NLRoute via Google maps"",""Voorverkoop: 10,00 excl. fee"""
"Kraak & Smaak (Vinyl Dj-Set),""Vrijdag    30 juni 201723:00 - 05:00"",""BIRD   ...Raampoortstraat 24/26/28Rotterdam NLRoute via Google maps"",""Voorverkoop: 10,00 excl. feeDeur:  13,00"""
"Afterparty,""Vrijdag    30 juni 2017 nacht00:00 - 07:00   (01-07-2017 00:00 - 07:00)"",""Club La Luna   ...Mauritsweg 46ARotterdam NLRoute via Google maps"",""Deur:  10,00"""
"Must White - with A Touch Of Gold,""Vrijdag    30 juni 201720:30 - 02:00"",""Grote of Sint-Laurenskerk   ...Grotekerkplein 15Rotterdam NLRoute via Google maps"",""Voorverkoop: 47,50  excl. feeKoop tickets:  """
"Fine Asia: Ibiza Nights,""Vrijdag    30 juni 201723:00 - 05:00"",""NORA Rotterdam   ...Coolsingel 18Rotterdam NLRoute via Google maps"",""Dresscode:Inspiratie voor jouw party outfit"""
"Summer Break! Sbmg (Live),""Vrijdag    30 juni 201723:00"",""Sorbonne   ...Rodezand 46Rotterdam NLRoute via Google maps"",""Dresscode:Inspiratie voor jouw party outfit"""
"Friday invites,""Vrijdag    30 juni 201723:00"",""The VIP room   ...Stadhuisplein 39Rotterdam NLRoute via Google maps"",""Dresscode:Inspiratie voor jouw party outfit"""
"Toffler presents Anotr,""Vrijdag    30 juni 201723:00 - 06:00"",""Toffler   ...Weena Zuid 33Rotterdam NLRoute via Google maps"",""Deur:  10,00"""
"Dopenez - The Future Millionaires,""Vrijdag    30 juni 201723:00 - 05:00"",""Villa Thalia   ...Kruiskade 31Rotterdam NLRoute via Google maps"",""Voorverkoop: 12,50  excl. feeKoop tickets:  """
"Bass Odyssey: Tmsv, Croms, Sb-Six,""Vrijdag    30 juni 2017 nacht00:30   (01-07-2017 00:30)"",""Worm   ...Boomgaardsstraat 71Rotterdam NLRoute via Google maps"",""Gratis entree"""
"Modular Festival Afterparty 2017,""Zaterdag   1 juli 201723:00 - 05:00"",""BAR   ...Schiekade 201Rotterdam NLRoute via Google maps"",""Voorverkoop: 5,00  excl. feeDeur:  10,00Koop tickets:  """
"The Grapevyne 90's Rnb & Hiphop,""Zaterdag   1 juli 201723:00 - 04:00"",""BIRD   ...Raampoortstraat 24/26/28Rotterdam NLRoute via Google maps"",""Voorverkoop: 7,00 excl. feeDeur:  10,00"""
"Blu presents: French Montana,""Zaterdag   1 juli 201723:00 - 06:00"",""BLU Rotterdam   ...Prins Alexanderlaan 37Rotterdam NLRoute via Google maps"",""Koop tickets:  """
"Afterparty,""Zaterdag   1 juli 2017 nacht00:00 - 09:00   (02-07-2017 00:00 - 09:00)"",""Club La Luna   ...Mauritsweg 46ARotterdam NLRoute via Google maps"",""Deur:  10,00"""
